Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:11.1,"urn:cite:hmt:vaimg.VA137VN-0639@0.407,0.241,0.384,0.0616"
urn:cts:greekLit:tlg0012.tlg001.msA:11.2,"urn:cite:hmt:vaimg.VA137VN-0639@0.465,0.2673,0.387,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:11.3,"urn:cite:hmt:vaimg.VA137VN-0639@0.466,0.2853,0.388,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.4,"urn:cite:hmt:vaimg.VA137VN-0639@0.46,0.3033,0.404,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.5,"urn:cite:hmt:vaimg.VA137VN-0639@0.457,0.3221,0.384,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.6,"urn:cite:hmt:vaimg.VA137VN-0639@0.465,0.3408,0.389,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.7,"urn:cite:hmt:vaimg.VA137VN-0639@0.468,0.3611,0.354,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:11.8,"urn:cite:hmt:vaimg.VA137VN-0639@0.469,0.3776,0.364,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.9,"urn:cite:hmt:vaimg.VA137VN-0639@0.463,0.3956,0.385,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.10,"urn:cite:hmt:vaimg.VA137VN-0639@0.463,0.4159,0.319,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.11,"urn:cite:hmt:vaimg.VA137VN-0639@0.464,0.4354,0.389,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.12,"urn:cite:hmt:vaimg.VA137VN-0639@0.467,0.4527,0.385,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.13,"urn:cite:hmt:vaimg.VA137VN-0639@0.464,0.4745,0.397,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.14,"urn:cite:hmt:vaimg.VA137VN-0639@0.465,0.491,0.402,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.15,"urn:cite:hmt:vaimg.VA137VN-0639@0.466,0.5098,0.382,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.16,"urn:cite:hmt:vaimg.VA137VN-0639@0.469,0.5278,0.4,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.17,"urn:cite:hmt:vaimg.VA137VN-0639@0.466,0.548,0.414,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.18,"urn:cite:hmt:vaimg.VA137VN-0639@0.469,0.5661,0.415,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:11.19,"urn:cite:hmt:vaimg.VA137VN-0639@0.46,0.5856,0.408,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.20,"urn:cite:hmt:vaimg.VA137VN-0639@0.46,0.6066,0.372,0.021"
