Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:17.37,"urn:cite:hmt:vaimg.VA228VN-0730@0.454,0.586,0.047,0.0376",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAim.hmt:17.38,"urn:cite:hmt:vaimg.VA228VN-0730@0.463,0.6394,0.038,0.0436",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAim.hmt:17.39,"urn:cite:hmt:vaimg.VA235RN-0406@0.573,0.5582,0.058,0.0323",urn:cite:hmt:msA.235r
urn:cts:greekLit:tlg5026.msAim.hmt:17.40,"urn:cite:hmt:vaimg.VA235RN-0406@0.602,0.6747,0.042,0.0361",urn:cite:hmt:msA.235r
urn:cts:greekLit:tlg5026.msAim.hmt:17.41,"urn:cite:hmt:vaimg.VA235VN-0737@0.435,0.2945,0.057,0.0451",urn:cite:hmt:msA.235v
urn:cts:greekLit:tlg5026.msAim.hmt:17.42,"urn:cite:hmt:vaimg.VA235VN-0737@0.448,0.5026,0.047,0.0466",urn:cite:hmt:msA.235v
urn:cts:greekLit:tlg5026.msAim.hmt:17.43,"urn:cite:hmt:vaimg.VA236RN-0407@0.571,0.2224,0.071,0.0233",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAim.hmt:17.44,"urn:cite:hmt:vaimg.VA236RN-0407@0.591,0.2434,0.058,0.0188",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAim.hmt:17.45,"urn:cite:hmt:vaimg.VA236RN-0407@0.587,0.3509,0.069,0.0323",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAim.hmt:17.46,"urn:cite:hmt:vaimg.VA236RN-0407@0.564,0.5259,0.031,0.0248",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAim.hmt:17.47,"urn:cite:hmt:vaimg.VA236VN-0738@0.452,0.3163,0.055,0.0473",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAim.hmt:17.48,"urn:cite:hmt:vaimg.VA236VN-0738@0.444,0.4072,0.061,0.0391",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAim.hmt:17.49,"urn:cite:hmt:vaimg.VA237RN-0408@0.54,0.2314,0.066,0.0316",urn:cite:hmt:msA.237r
urn:cts:greekLit:tlg5026.msAim.hmt:17.50,"urn:cite:hmt:vaimg.VA237RN-0408@0.615,0.4869,0.076,0.0225",urn:cite:hmt:msA.237r
urn:cts:greekLit:tlg5026.msAim.hmt:17.51,"urn:cite:hmt:vaimg.VA237VN-0739@0.431,0.6484,0.075,0.0654",urn:cite:hmt:msA.237v
urn:cts:greekLit:tlg5026.msAim.hmt:17.51,"",urn:cite:hmt:msA.237v
