Text,Image,Folio
urn:cts:greekLit:tlg5026.msAext.hmt:17.1,"urn:cite:hmt:vaimg.VA224RN-0395@0.803,0.5154,0.08,0.0278",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAext.hmt:17.2,"urn:cite:hmt:vaimg.VA224RN-0395@0.808,0.5635,0.059,0.021",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAext.hmt:17.3,"urn:cite:hmt:vaimg.VA225VN-0727@0.136,0.2953,0.055,0.0255",urn:cite:hmt:msA.225v
urn:cts:greekLit:tlg5026.msAext.hmt:17.4,"urn:cite:hmt:vaimg.VA227RN-0398@0.774,0.2254,0.076,0.0248",urn:cite:hmt:msA.227r
urn:cts:greekLit:tlg5026.msAext.hmt:17.5,"urn:cite:hmt:vaimg.VA237VN-0739@0.168,0.583,0.061,0.0263",urn:cite:hmt:msA.237v
